district,school,source_address
Hinundayan District,122077 Sagbok ES,"SAGBOK, HINUNDAYAN SOUTHERN LEYTE"
Hinundayan District,192006 Baculod ES,"BACULOD, HINUNDAYAN, SOUTHERN LEYTE"
Hinundayan District,192008 Navalita MGES,"BRGY. NAVALITA, HINUNDAYAN, SOUTHERN LEYTE"
Hinundayan District,192031 Cat-iwing MGES,"BRGY. CAT-IWING, HINUNDAYAN, SO. LEYTE"
Hinundayan District,303466 Lungsodaan NHS,"LUNGSODAAN, HINUNDAYAN, SOUTHERN LEYTE"
Libagon District,122081 Magkasag ES,"MAGKASAG, LIBAGON, SO. LEYTE"
Libagon District,122085 Tigbao ES,"TIGBAO, LIBAGON, SOUTHERN LEYTE"
Libagon District,303472 Rito Monte de Ramos Sr. MHS (Nahaong NHS),"NAHAONG,LIBAGON, SOUTHERN LEYTE"
Limasawa District,122221 Lugsongan ES,"LUGSONGAN,LIMASAWA,SOUTHERN LEYTE"
Limasawa District,122223 Magallanes ES,"MAGALLANES, LIMASAWA SOUTHERN LEYTE"
Limasawa District,122225 San Agustin ES,"SAN AGUSTIN, LIMASAWA, SOUTHERN LEYTE"
Limasawa District,122226 San Bernardo ES,"SAN BERNARDO, LIMASAWA, SOUTHERN LEYTE"
Limasawa District,122230 Triana ES,"TRIANA,LIMASAWA,SOUTHERN LEYTE"
Limasawa District,303465 Limasawa NHS,"Cabulihan, Limasawa, Southern Leyte"
Macrohon District,122178 Aguinaldo Elementary MGS,"AGUINALDO, MACROHON"
Macrohon District,122179 Amparo ES,"AMPARO , MACROHON"
Macrohon District,122180 Asuncion PS,"ASUNCION, MACROHON"
Macrohon District,122181 Bagong Silang MGS,"BAGONG SILANG, MACROHON"
Macrohon District,122182 Buscan ES,"BUSCAYAN, MACROHON"
Macrohon District,122184 Flordeliz ES,"FLORDELIZ, MACROHON"
Macrohon District,122185 Ichon ES,"ICHON, MACROHON"
Macrohon District,122186 Ilihan ES,"ILIHAN, MACROHON"
Macrohon District,122187 Laray ES,"LARAY,MACROHON"
Macrohon District,122188 Mabini ES,"MMABINI, MACROHON"
Macrohon District,122189 Macrohon Central ES,"POBLACION,MACROHON"
Macrohon District,122193 San Isidro ES,SAN ISIDRO MACROHON
Macrohon District,122194 San Joaquin ES,"SAN JOAQUIN,MACROHON"
Macrohon District,122195 San Roque ES,"SAN ROQUE, MACROHON"
Macrohon District,122196 Sindangan ES,"SINDANGAN, MACROHON"
Macrohon District,122197 Sto. Ni̱o ES,"STO.NINO, MACROHON"
Macrohon District,122198 Villa Jacinta ES,"VILLA JACINTA,MACROHON"
Macrohon District,303462 Ichon NHS,"ICHON NATIONAL HIGH SCHOOL, ICHON, MACROHON, SOUTHERN LEYTE"
Macrohon District,303485 San Roque NHS,"SAN ROQUE, MACROHON, SOUTHERN LEYTE"
Macrohon District,303492 Villa Jacinta NVHS,"VILLA JACINTA, MACROHON, SOUTHERN LEYTE"
Malitbog District,122199 Abgao ES,"ABGAO, MALITBOG, SOUTHERN LEYTE"
Malitbog District,122200 Aurora ES,"AURORA, MALITBOG, SOUTHERN LEYTE"
Malitbog District,122201 Benit ES,"ASUNCION, MALITBOG, SOUTHERN LEYTE"
Malitbog District,122202 Cadaruhan ES,"CADARUHAN,MALITBOG,SOUTHERN LEYTE"
Malitbog District,122203 Cambalhin ES,"NEW KATIPUNAN,MALITBOG, SOUTHERN LEYTE"
Malitbog District,122204 Cantamuac ES,"CANTAMUAC, MALITBOG SOUTHERN LEYTE"
Malitbog District,122205 Caraatan ES,"CARAATAN, MALITBOG, SOUTHERN LEYTE"
Malitbog District,122206 Concepcion ES,"CONCEPCION, MALITBOG, SOUTHERN LEYTE"
Malitbog District,122207 Guinabonan ES,"GUINABONAN, MALITBOG, SOUTHERN LEYTE"
Malitbog District,122208 Kauswagan ES,"KAUSWAGAN, MALITBOG, SOUTHERN LEYTE"
